run,target,users,mean_user_probability_recovery,median_user_probability_recovery,fraction_users_harmed,mean_reuse_probability_gap,mean_method_probability_gap
v0_canary_01,1,2,0.8082806468009949,0.8082806468009949,0.0,0.00341523950919505,0.00056648720055815
v0_canary_01,2,2,0.07105451822280884,0.07105451822280884,0.5,0.0035651684738695,0.0015547894872724498
v0_score_01,1,8,-0.2196929231286049,0.44656994938850403,0.375,0.005081432289443875,0.003943981835618562
v0_score_01,2,8,-0.543850302696228,0.058916211128234794,0.375,0.008673484087921637,0.00909551093354815
v0_short_01,1,8,-2.9182424768805504,-0.07820847630500793,0.5,0.005081432289443875,0.004897878854535463
v0_short_01,2,8,-3.2604027092456818,-0.44766563177108765,0.625,0.008673484087921637,0.012959359213709774
v1_cal128_01,1,128,0.07281780848279594,0.6412997245788574,0.15625,0.00832393586460962,0.0023090814938768267
v1_cal128_01,2,128,-0.9511387683451176,0.1032657921314239,0.4296875,0.004912187265290361,0.004410328714584413
v1_local_01,1,8,-1.5298106297850609,-0.5844199061393738,0.5,0.005081432289443875,0.004774304688908125
v1_local_01,2,8,-1.3993366658687592,-0.15608751773834226,0.75,0.008673484087921637,0.012412992888130225
v2_functional128_01,1,128,-0.5818121773190796,0.5960437059402466,0.25,0.00832393586460962,0.003306635480839707
v2_functional128_01,2,128,-2.9273258512839675,-1.033511400222778,0.7578125,0.004912187265290361,0.008429921101196617
v2_functional_canary_01,1,2,-0.0156894922256469,-0.0156894922256469,1.0,0.00341523950919505,0.00346436491236085
v2_functional_canary_01,2,2,-0.04156750440597525,-0.04156750440597525,1.0,0.0035651684738695,0.0037118308246135
v2_ridge128_01,1,128,0.42696259496733546,0.7989761233329773,0.125,0.00832393586460962,0.0020484473134274087
v2_ridge128_01,2,128,-0.740136781707406,0.3055996894836426,0.375,0.004912187265290361,0.004497112691751631
v2_ridge_adjacent128_01,1,128,0.42696259496733546,0.7989761233329773,0.125,0.00832393586460962,0.0020484473134274087
v2_ridge_adjacent128_01,2,128,0.11375507013872266,0.6116661131381989,0.21875,0.004912187265290361,0.002207815065048589
v2_ridge_cal512_probe_01,1,128,0.5354972491040826,0.8322658240795135,0.09375,0.00832393586460962,0.0017685539714875134
v2_ridge_canary_01,1,2,-71.39186927676201,-71.39186927676201,0.5,0.00341523950919505,0.1522441147826612
v2_ridge_canary_01,2,2,-15.630950212478638,-15.630950212478638,1.0,0.0035651684738695,0.037532323971390655
v2_ridge_rank128_probe_01,1,128,0.42650014627724886,0.7992865443229675,0.125,0.00832393586460962,0.0020495006101554736
v2_ridge_score128_01,1,128,0.3906710580922663,0.7944426238536835,0.140625,0.00832393586460962,0.0021852241334272115
