family,budget,cost,edge_equal_best_observed_recovery,minimum_edge_recovery,maximum_edge_recovery
layer,k1,0.16666666666666666,0.4556141619877967,0.1578344972660527,0.9387772513600461
layer,k2,0.3333333333333333,0.4835842329848868,0.2303308714828397,0.9380221619020244
layer,k3,0.5,0.8437432233931051,0.7176181052683073,0.9851268768056973
layer,k4,0.6666666666666666,0.9743511287182024,0.9440962104403104,0.9950197347386582
token,p10,0.099609375,0.3001118885174738,0.10684787277619257,0.46686921485252775
token,p20,0.2001953125,0.4116823897135192,0.1615496252800176,0.6406678616808305
token,p40,0.400390625,0.5691816885135442,0.1575127127866064,0.8128052357698181
token,p80,0.7998046875,0.8973920217271318,0.721424598250826,0.9724695087704966
window,w128,0.125,0.11617665520480505,0.08999974621202955,0.14080332392141992
window,w256,0.25,0.2339807005105809,0.18635353763295648,0.2766125995008313
window,w512,0.5,0.460432571995287,0.3757592963780556,0.5317980368907165
window,w768,0.75,0.7110915405164142,0.6290147139497386,0.7688690826883893
