edge,family,budget,cost,configs,recovery_mean,recovery_min,recovery_max
v0_to_v1,layer,k1,0.16666666666666666,6,0.04492336004603633,0.002740331100419824,0.1578344972660527
v0_to_v1,layer,k2,0.3333333333333333,3,0.11175916374736768,0.007711914436990153,0.2303308714828397
v0_to_v1,layer,k3,0.5,3,0.28191170443498087,0.031679857168808945,0.7176181052683073
v0_to_v1,layer,k4,0.6666666666666666,2,0.5332043599200176,0.09513796721839074,0.9712707526216444
v0_to_v1,token,p10,0.099609375,5,0.0588133931476855,0.02533022075806468,0.10684787277619257
v0_to_v1,token,p20,0.2001953125,4,0.0832638907074783,0.023469073409886576,0.1615496252800176
v0_to_v1,token,p40,0.400390625,2,0.11750977513872346,0.07750683749084053,0.1575127127866064
v0_to_v1,token,p80,0.7998046875,1,0.721424598250826,0.721424598250826,0.721424598250826
v0_to_v1,window,w128,0.125,3,0.08686651523365925,0.0821537962038531,0.08999974621202955
v0_to_v1,window,w256,0.25,3,0.18122281204560955,0.1725739208185395,0.18635353763295648
v0_to_v1,window,w512,0.5,1,0.3757592963780556,0.3757592963780556,0.3757592963780556
v0_to_v1,window,w768,0.75,1,0.6290147139497386,0.6290147139497386,0.6290147139497386
v1_to_v2,layer,k1,0.16666666666666666,6,0.10182762529125959,-0.0037659151998470364,0.3419980500921228
v1_to_v2,layer,k2,0.3333333333333333,3,0.20104573945351178,-0.0008243933371372414,0.37872583709521324
v1_to_v2,layer,k3,0.5,3,0.338827262772653,-0.0027827907278608066,0.7963941022848028
v1_to_v2,layer,k4,0.6666666666666666,2,0.6024407459632652,0.21918307549972438,0.985698416426806
v1_to_v2,token,p10,0.099609375,5,0.16370449463843975,0.046985825882168486,0.2869446107296222
v1_to_v2,token,p20,0.2001953125,4,0.3107228084567666,0.19058022856693901,0.383091861930276
v1_to_v2,token,p40,0.400390625,2,0.5820084146611525,0.557188151244064,0.606828678078241
v1_to_v2,token,p80,0.7998046875,1,0.9179190888904363,0.9179190888904363,0.9179190888904363
v1_to_v2,window,w128,0.125,3,0.10365947423509925,0.0973716170558987,0.1101700629137572
v1_to_v2,window,w256,0.25,3,0.21404860979329934,0.20263556190494503,0.22123442371732982
v1_to_v2,window,w512,0.5,1,0.4325539129383108,0.4325539129383108,0.4325539129383108
v1_to_v2,window,w768,0.75,1,0.6871855780918241,0.6871855780918241,0.6871855780918241
v2_to_v3,layer,k1,0.16666666666666666,6,0.15463161823535188,0.0031211832412642027,0.5902284614164981
v2_to_v3,layer,k2,0.3333333333333333,3,0.3047754714628146,0.01847213890221544,0.6098101134626
v2_to_v3,layer,k3,0.5,3,0.4200115010719793,0.0490830507190998,0.922896523819927
v2_to_v3,layer,k4,0.6666666666666666,2,0.6373233993738198,0.29897626938404653,0.975670529363593
v2_to_v3,token,p10,0.099609375,5,0.06171560142907708,-0.1332196506326191,0.31159912202817397
v2_to_v3,token,p20,0.2001953125,4,0.27889767318247227,0.09029518588723151,0.43624114710022277
v2_to_v3,token,p40,0.400390625,2,0.5899983007289168,0.5176906960112337,0.6623059054465998
