family,budget,cost,config_id,edge_equal_recovery
layer,k1,0.16666666666666666,layer_1,0.4556141619877967
layer,k2,0.3333333333333333,layer_1_2,0.4835842329848868
layer,k3,0.5,layer_1_2_3,0.8437432233931051
layer,k4,0.6666666666666666,layer_1_2_3_4,0.9743511287182024
token,p10,0.099609375,token_p10_read_delta,0.27222556199767445
token,p20,0.2001953125,token_p20_read_delta,0.3967054700088565
token,p40,0.400390625,token_p40_read_delta,0.5691816885135442
token,p80,0.7998046875,token_p80_read_delta,0.8973920217271318
window,w128,0.125,window_128_768_896,0.11357340441083179
window,w256,0.25,window_256_512_768,0.2285513086316293
window,w512,0.5,window_512_512_1024,0.460432571995287
window,w768,0.75,window_768_256_1024,0.7110915405164142
