stage,presentation,rank,layer,users,target_rank90,target_rank95,retained_centered_energy,anchor_fit_relative_l2
av_aggregation,S4_aggregated_context,1,0,32,1.0375,1.14375,0.9724927958101034,0.0034859260682424064
av_aggregation,S4_aggregated_context,1,1,32,1.01875,1.05625,0.9882432863116264,0.0012955950056948496
av_aggregation,S4_aggregated_context,1,2,32,1.175,1.31875,0.9455761425197124,0.0008325740661348391
av_aggregation,S4_aggregated_context,1,3,32,1.0875,1.1625,0.9630841463804245,0.0012809088952963066
av_aggregation,S4_aggregated_context,1,4,32,1.0,1.0,0.9947952624410391,0.002154750085765045
av_aggregation,S4_aggregated_context,1,5,32,1.0,1.025,0.9905494056642056,0.0016442336283034819
av_aggregation,S4_aggregated_context,2,0,32,1.0375,1.14375,0.995143772661686,0.001587251758428465
av_aggregation,S4_aggregated_context,2,1,32,1.01875,1.05625,0.9992738053202629,0.00036165122047577826
av_aggregation,S4_aggregated_context,2,2,32,1.175,1.33125,0.9987097296863794,0.00018130853197249053
av_aggregation,S4_aggregated_context,2,3,32,1.08125,1.15625,0.9983896885067225,0.0003070346416961911
av_aggregation,S4_aggregated_context,2,4,32,1.0,1.0,0.9993437718600034,0.0007496971663385921
av_aggregation,S4_aggregated_context,2,5,32,1.0,1.03125,0.9990409649908543,0.0005588701756778392
av_aggregation,S4_aggregated_context,4,0,32,1.0375,1.14375,0.9999450575560331,0.000385754411513517
av_aggregation,S4_aggregated_context,4,1,32,1.01875,1.05625,0.9999985918402672,0.00010984744988036254
av_aggregation,S4_aggregated_context,4,2,32,1.175,1.325,0.999988604336977,7.971081396931367e-05
av_aggregation,S4_aggregated_context,4,3,32,1.08125,1.1625,0.9999758832156658,8.115617383168683e-05
av_aggregation,S4_aggregated_context,4,4,32,1.0,1.0,0.9999754305928945,0.00026913568233339903
av_aggregation,S4_aggregated_context,4,5,32,1.0,1.03125,0.9999825563281775,0.00020930962338070458
av_aggregation,S4_aggregated_context,8,0,32,1.0375,1.14375,0.9999996017664671,0.0003709643327283629
av_aggregation,S4_aggregated_context,8,1,32,1.01875,1.05625,0.9999999649822712,0.00010625674997868372
av_aggregation,S4_aggregated_context,8,2,32,1.175,1.325,0.9999989781528711,7.731026772717087e-05
av_aggregation,S4_aggregated_context,8,3,32,1.08125,1.1625,0.9999998167157174,7.363276677097019e-05
av_aggregation,S4_aggregated_context,8,4,32,1.0,1.0,0.9999998804181814,0.0002355945835915918
av_aggregation,S4_aggregated_context,8,5,32,1.0,1.03125,0.999999926239252,0.000193813240525742
final_readout,S7_final_representation,1,-1,32,1.01875,1.19375,0.9706263214349746,0.0066831170741352254
final_readout,S7_final_representation,2,-1,32,1.01875,1.19375,0.9939378060400486,0.0030208662734366953
final_readout,S7_final_representation,4,-1,32,1.01875,1.19375,0.9997591663151979,0.0007310674568543618
final_readout,S7_final_representation,8,-1,32,1.01875,1.19375,0.9999874718487263,0.0004948309704559505
layer_hidden,S6_post_block_residual,1,0,32,1.0625,1.225,0.9646075215190649,0.006954770846641622
layer_hidden,S6_post_block_residual,1,1,32,1.04375,1.09375,0.9828149735927582,0.0044378956859873146
layer_hidden,S6_post_block_residual,1,2,32,1.11875,1.25625,0.9538095682859421,0.0034415453555993736
layer_hidden,S6_post_block_residual,1,3,32,1.13125,1.24375,0.9520484272390604,0.003554334743239451
layer_hidden,S6_post_block_residual,1,4,32,1.0,1.0,0.9938829816877842,0.002972143811712158
layer_hidden,S6_post_block_residual,1,5,32,1.0125,1.04375,0.980756065249443,0.004003991462377598
layer_hidden,S6_post_block_residual,2,0,32,1.0625,1.225,0.9940949078649283,0.0031977906699466986
layer_hidden,S6_post_block_residual,2,1,32,1.04375,1.0875,0.9988469548523426,0.001413886182672286
layer_hidden,S6_post_block_residual,2,2,32,1.1125,1.24375,0.9968171793967485,0.0009918248097164906
layer_hidden,S6_post_block_residual,2,3,32,1.11875,1.2,0.9958316821604967,0.0011658861329124192
layer_hidden,S6_post_block_residual,2,4,32,1.0,1.0,0.9988434992730617,0.001230185778149462
layer_hidden,S6_post_block_residual,2,5,32,1.0125,1.0375,0.996911333873868,0.0016198495122807799
layer_hidden,S6_post_block_residual,4,0,32,1.0625,1.225,0.9998554609715938,0.0009994689278755686
layer_hidden,S6_post_block_residual,4,1,32,1.04375,1.09375,0.9999623574316502,0.00038752812452003127
layer_hidden,S6_post_block_residual,4,2,32,1.09375,1.2,0.9999188244342804,0.00020758926452799643
layer_hidden,S6_post_block_residual,4,3,32,1.1,1.1875,0.9999052546918392,0.00024163296245660604
layer_hidden,S6_post_block_residual,4,4,32,1.0,1.0,0.999941673129797,0.00033002001082422795
layer_hidden,S6_post_block_residual,4,5,32,1.0125,1.03125,0.9999217573553324,0.00035808562988677296
layer_hidden,S6_post_block_residual,8,0,32,1.0625,1.225,0.9999922446906566,0.0009493375067449961
layer_hidden,S6_post_block_residual,8,1,32,1.04375,1.09375,0.9999979838728905,0.0002967137631458172
layer_hidden,S6_post_block_residual,8,2,32,1.09375,1.2,0.999997115880251,0.00013306141436260078
layer_hidden,S6_post_block_residual,8,3,32,1.1,1.1875,0.9999963369220495,0.00015600955016452643
layer_hidden,S6_post_block_residual,8,4,32,1.0,1.0,0.9999937985092402,0.00025692179183351983
layer_hidden,S6_post_block_residual,8,5,32,1.0125,1.03125,0.9999949049204588,0.00026565476850919366
u_gated_update,S5_transformed_update,1,0,32,1.0625,1.225,0.9646075040102005,0.006954791153111728
u_gated_update,S5_transformed_update,1,1,32,1.04375,1.09375,0.9828159041702748,0.004437762692396064
u_gated_update,S5_transformed_update,1,2,32,1.11875,1.25625,0.9538100849837065,0.003441541643405799
u_gated_update,S5_transformed_update,1,3,32,1.13125,1.24375,0.9520499266684055,0.0035539817341486923
u_gated_update,S5_transformed_update,1,4,32,1.0,1.0,0.9939139429479837,0.002967618986804155
u_gated_update,S5_transformed_update,1,5,32,1.0125,1.04375,0.9807609725743532,0.004003411434678128
