stage,presentation,rank,edge_equal_probability_recovery,edge_equal_logit_recovery,edges_at_80,edges_at_90,minimum_edge_recovery,maximum_edge_recovery,storage_values,shape_gate
av_aggregation,S4_aggregated_context,8,0.998731079697609,0.9987339947372675,5,5,0.9964250773191452,0.9997368454933167,20736,True
av_aggregation,S4_aggregated_context,4,0.9987172968685627,0.9987190414220095,5,5,0.9964091069996357,0.9997287075966597,11520,True
final_readout,S7_final_representation,8,0.9980140995234251,0.9980173017829657,5,5,0.9970778841525316,0.9993075709789991,3456,True
final_readout,S7_final_representation,4,0.9974938541650772,0.9974963754415512,5,5,0.9966144412755966,0.9990395344793797,1920,True
av_aggregation,S4_aggregated_context,2,0.9969342783093452,0.996938169747591,5,5,0.9929282870143652,0.9987670853734016,6912,True
av_aggregation,S4_aggregated_context,1,0.9925265487283468,0.9925435598939657,5,5,0.981816940009594,0.9970588181167841,4608,True
final_readout,S7_final_representation,2,0.9903021663427353,0.9902203861624003,5,5,0.9842419158667326,0.9965046048164368,1152,True
layer_hidden,S6_post_block_residual,8,0.9901603735983372,0.9901601105928421,5,5,0.9720711596310139,0.9961081948131323,20736,True
u_gated_update,S5_transformed_update,8,0.9901595577597618,0.9901592671871186,5,5,0.9720634836703539,0.9961121119558811,20736,True
layer_hidden,S6_post_block_residual,4,0.9900432385504245,0.9900479700416327,5,5,0.97215186804533,0.9960423521697521,11520,True
u_gated_update,S5_transformed_update,4,0.9900426898151636,0.9900466874241829,5,5,0.9721460901200771,0.9960439894348383,11520,True
u_gated_update,S5_transformed_update,2,0.9816226318478585,0.9815390683710575,5,5,0.9583015572279692,0.9914048165082932,6912,True
layer_hidden,S6_post_block_residual,2,0.9816220972687006,0.981538713723421,5,5,0.9583032038062811,0.9914039205759764,6912,True
final_readout,S7_final_representation,1,0.9691279958933592,0.9688976090401411,5,5,0.9458658304065466,0.9919181670993567,768,True
u_gated_update,S5_transformed_update,1,0.9583709847182036,0.9581449095159769,5,5,0.9080226682126522,0.9813451543450356,4608,True
layer_hidden,S6_post_block_residual,1,0.958369291946292,0.9581443283706903,5,5,0.9080222714692354,0.9813446346670389,4608,True
av_aggregation,S4_aggregated_context,0,0.9292734008282423,0.9290747582912445,5,4,0.8649625405669212,0.977248165756464,1152,True
final_readout,S7_final_representation,0,0.9164700258523226,0.915779884159565,5,4,0.8856239765882492,0.968660382553935,192,True
u_gated_update,S5_transformed_update,0,0.8229476448148489,0.8234399776905775,4,0,0.643570888787508,0.8923775069415569,1152,True
layer_hidden,S6_post_block_residual,0,0.8229466661810875,0.8234396133571863,4,0,0.6435706801712513,0.8923756591975689,1152,True
