stage,presentation,rank,edge,users,probability_recovery,logit_recovery,rank_correlation,storage_values
av_aggregation,S4_aggregated_context,0,v0_to_v1,32,0.8649625405669212,0.8645277600735426,0.9862422123551369,1152
av_aggregation,S4_aggregated_context,0,v1_to_v2,32,0.977248165756464,0.9777182228863239,0.996700881049037,1152
av_aggregation,S4_aggregated_context,0,v2_to_v3,32,0.9095310624688864,0.910199074074626,0.9796210620552301,1152
av_aggregation,S4_aggregated_context,0,v3_to_v4,32,0.9725824426859617,0.9708429705351591,0.7493699635379016,1152
av_aggregation,S4_aggregated_context,0,v4_to_v5,32,0.9220427926629782,0.9220857638865709,0.983825147151947,1152
av_aggregation,S4_aggregated_context,1,v0_to_v1,32,0.9924939312040806,0.9925119243562222,0.9995303340256214,4608
av_aggregation,S4_aggregated_context,1,v1_to_v2,32,0.9968015775084496,0.9968514386564493,0.9996907077729702,4608
av_aggregation,S4_aggregated_context,1,v2_to_v3,32,0.9944614768028259,0.9944715294986963,0.9993126839399338,4608
av_aggregation,S4_aggregated_context,1,v3_to_v4,32,0.9970588181167841,0.9969622902572155,0.9976173043251038,4608
av_aggregation,S4_aggregated_context,1,v4_to_v5,32,0.981816940009594,0.9819206167012453,0.997903686016798,4608
av_aggregation,S4_aggregated_context,2,v0_to_v1,32,0.997271316125989,0.9972498528659344,0.9999312683939934,6912
av_aggregation,S4_aggregated_context,2,v1_to_v2,32,0.9981238134205341,0.9981524832546711,0.9998854473233223,6912
av_aggregation,S4_aggregated_context,2,v2_to_v3,32,0.9975808896124363,0.9975942131131887,0.999747984111309,6912
av_aggregation,S4_aggregated_context,2,v3_to_v4,32,0.9987670853734016,0.9987369030714035,0.9996907077729702,6912
av_aggregation,S4_aggregated_context,2,v4_to_v5,32,0.9929282870143652,0.9929573964327574,0.9994845129549503,6912
av_aggregation,S4_aggregated_context,4,v0_to_v1,32,0.9991364572197199,0.9991346318274736,0.9999770894646645,11520
av_aggregation,S4_aggregated_context,4,v1_to_v2,32,0.9996063280850649,0.9996160380542278,1.0,11520
av_aggregation,S4_aggregated_context,4,v2_to_v3,32,0.9987058844417334,0.9986968394368887,0.9999885447323322,11520
av_aggregation,S4_aggregated_context,4,v3_to_v4,32,0.9997287075966597,0.9997123349457979,0.9998854473233223,11520
av_aggregation,S4_aggregated_context,4,v4_to_v5,32,0.9964091069996357,0.9964353628456593,0.9998396262526512,11520
av_aggregation,S4_aggregated_context,8,v0_to_v1,32,0.9991622138768435,0.9991665408015251,0.9999770894646645,20736
av_aggregation,S4_aggregated_context,8,v1_to_v2,32,0.9996048044413328,0.9996146764606237,1.0,20736
av_aggregation,S4_aggregated_context,8,v2_to_v3,32,0.9987264573574066,0.9987222664058208,0.9999770894646645,20736
av_aggregation,S4_aggregated_context,8,v3_to_v4,32,0.9997368454933167,0.9997163861989975,0.9999083578586578,20736
av_aggregation,S4_aggregated_context,8,v4_to_v5,32,0.9964250773191452,0.9964501038193703,0.9998854473233223,20736
final_readout,S7_final_representation,0,v0_to_v1,32,0.8856239765882492,0.8843734916299582,0.9946618415415287,192
final_readout,S7_final_representation,0,v1_to_v2,32,0.968660382553935,0.9692380465567112,0.9935621339827776,192
final_readout,S7_final_representation,0,v2_to_v3,32,0.925496656447649,0.9249477609992027,0.9799532648175955,192
final_readout,S7_final_representation,0,v3_to_v4,32,0.9013404101133347,0.8993000276386738,0.931153777288273,192
