edge,stage,presentation,layer,users,candidate_mean_energy_fraction,candidate_centered_energy_fraction
v0_to_v1,av_aggregation,S4_aggregated_context,0,32,0.9990531336516142,0.0009468469995681517
v0_to_v1,av_aggregation,S4_aggregated_context,1,32,0.9993715304881334,0.0006284664735005663
v0_to_v1,av_aggregation,S4_aggregated_context,2,32,0.9997988436371088,0.00020115777104834365
v0_to_v1,av_aggregation,S4_aggregated_context,3,32,0.999868381768465,0.00013160535146994334
v0_to_v1,av_aggregation,S4_aggregated_context,4,32,0.9995603132992983,0.0004396933104544587
v0_to_v1,av_aggregation,S4_aggregated_context,5,32,0.9993997029960155,0.0006002796321809001
v1_to_v2,av_aggregation,S4_aggregated_context,0,32,0.9987979456782341,0.001202024735903251
v1_to_v2,av_aggregation,S4_aggregated_context,1,32,0.9960502702742815,0.003949731416469149
v1_to_v2,av_aggregation,S4_aggregated_context,2,32,0.9993598256260157,0.0006401781972122933
v1_to_v2,av_aggregation,S4_aggregated_context,3,32,0.9994290806353092,0.0005709091549306322
v1_to_v2,av_aggregation,S4_aggregated_context,4,32,0.9989186134189367,0.001081388424609031
v1_to_v2,av_aggregation,S4_aggregated_context,5,32,0.9992150720208883,0.000784940507628562
v2_to_v3,av_aggregation,S4_aggregated_context,0,32,0.9987358618527651,0.0012641173461815924
v2_to_v3,av_aggregation,S4_aggregated_context,1,32,0.9995581284165382,0.0004418762700879597
v2_to_v3,av_aggregation,S4_aggregated_context,2,32,0.9999722018837929,2.7784141751752145e-05
v2_to_v3,av_aggregation,S4_aggregated_context,3,32,0.9999060649424791,9.393683272662656e-05
v2_to_v3,av_aggregation,S4_aggregated_context,4,32,0.998588839545846,0.00141117306338856
v2_to_v3,av_aggregation,S4_aggregated_context,5,32,0.9996189642697573,0.0003810239736594667
v3_to_v4,av_aggregation,S4_aggregated_context,0,32,0.9984950181096792,0.001504979654782801
v3_to_v4,av_aggregation,S4_aggregated_context,1,32,0.9990978334099054,0.0009021483942888153
v3_to_v4,av_aggregation,S4_aggregated_context,2,32,0.9998878501355648,0.00011215496124350466
v3_to_v4,av_aggregation,S4_aggregated_context,3,32,0.9997149351984262,0.0002850738022175392
v3_to_v4,av_aggregation,S4_aggregated_context,4,32,0.9986541904509068,0.0013458189228003903
v3_to_v4,av_aggregation,S4_aggregated_context,5,32,0.9991084709763527,0.0008915350649658649
v4_to_v5,av_aggregation,S4_aggregated_context,0,32,0.9988572672009468,0.0011427535894199536
v4_to_v5,av_aggregation,S4_aggregated_context,1,32,0.9990471731871367,0.0009528167521466457
v4_to_v5,av_aggregation,S4_aggregated_context,2,32,0.9997894931584597,0.0002104935945439479
v4_to_v5,av_aggregation,S4_aggregated_context,3,32,0.9997653011232615,0.00023469780614959745
v4_to_v5,av_aggregation,S4_aggregated_context,4,32,0.9979772921651602,0.002022702826252498
v4_to_v5,av_aggregation,S4_aggregated_context,5,32,0.9992369562387466,0.0007630295633589412
v0_to_v1,final_readout,S7_final_representation,-1,32,0.998350540176034,0.0016494670380780008
v1_to_v2,final_readout,S7_final_representation,-1,32,0.997436985373497,0.0025630415093473857
v2_to_v3,final_readout,S7_final_representation,-1,32,0.9976090807467699,0.0023908936591396923
v3_to_v4,final_readout,S7_final_representation,-1,32,0.9982558749616146,0.001744117957969138
v4_to_v5,final_readout,S7_final_representation,-1,32,0.9966059196740389,0.0033940913817787077
v0_to_v1,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,0,32,0.9981926418840885,0.0018073764692871919
v0_to_v1,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,1,32,0.999328525736928,0.0006714797793279104
v0_to_v1,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,2,32,0.999801829457283,0.00019816124194349527
v0_to_v1,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,3,32,0.9998494870960712,0.00015050661002646848
v0_to_v1,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,4,32,0.9995738454163074,0.0004261573074018088
v0_to_v1,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,5,32,0.9994524400681257,0.0005475587595356046
v1_to_v2,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,0,32,0.998427415266633,0.0015725669366020156
v1_to_v2,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,1,32,0.9972128700464964,0.0027871195752027234
v1_to_v2,kv_prefix_contribution,S3_positionwise_response_summed_for_injection,2,32,0.9993971213698387,0.0006028672477498276
