stage,presentation,rank,layer,users,mean_target_rank90,p90_target_rank90,mean_target_rank95,retained_centered_energy,anchor_fit_relative_l2
av_aggregation,S4_aggregated_context,0,0,512,1.025390625,1.0,1.11328125,0.0,0.03237933285008694
av_aggregation,S4_aggregated_context,0,1,512,1.030078125,1.0,1.05859375,0.0,0.021642764550597347
av_aggregation,S4_aggregated_context,0,2,512,1.17265625,2.0,1.2953125,0.0,0.008174585021731674
av_aggregation,S4_aggregated_context,0,3,512,1.130078125,2.0,1.2546875,0.0,0.010930819142276959
av_aggregation,S4_aggregated_context,0,4,512,1.0046875,1.0,1.015234375,0.0,0.03373572613500073
av_aggregation,S4_aggregated_context,0,5,512,1.025,1.0,1.05703125,0.0,0.023471021728028063
av_aggregation,S4_aggregated_context,1,0,512,1.025390625,1.0,1.11328125,0.9766290054423734,0.003497991626750263
av_aggregation,S4_aggregated_context,1,1,512,1.031640625,1.0,1.061328125,0.9865534027572721,0.0011791468057936072
av_aggregation,S4_aggregated_context,1,2,512,1.173828125,2.0,1.308203125,0.9460783076705411,0.0008294219564135119
av_aggregation,S4_aggregated_context,1,3,512,1.138671875,2.0,1.262890625,0.9539349341997877,0.0014460804787404414
av_aggregation,S4_aggregated_context,1,4,512,1.00234375,1.0,1.010546875,0.9940432213246823,0.002406638451184051
av_aggregation,S4_aggregated_context,1,5,512,1.019921875,1.0,1.047265625,0.9869721413590014,0.00211696867119997
av_aggregation,S4_aggregated_context,2,0,512,1.025390625,1.0,1.11328125,0.9962797227781266,0.0015227697583270583
av_aggregation,S4_aggregated_context,2,1,512,1.03125,1.0,1.060546875,0.9989730732981116,0.0003119705029575925
av_aggregation,S4_aggregated_context,2,2,512,1.17421875,2.0,1.3109375,0.9980763024417684,0.00015314386532452317
av_aggregation,S4_aggregated_context,2,3,512,1.1375,2.0,1.261328125,0.9982062825001776,0.00030355136772826087
av_aggregation,S4_aggregated_context,2,4,512,1.00234375,1.0,1.010546875,0.9993927230359987,0.0008206518318047528
av_aggregation,S4_aggregated_context,2,5,512,1.019921875,1.0,1.0453125,0.9990332024404779,0.0008002972464829838
av_aggregation,S4_aggregated_context,4,0,512,1.025390625,1.0,1.11328125,0.9999579814029858,0.0004072261617551476
av_aggregation,S4_aggregated_context,4,1,512,1.03125,1.0,1.0609375,0.9999977809609846,6.707710997631012e-05
av_aggregation,S4_aggregated_context,4,2,512,1.175,2.0,1.31015625,0.9999876119429245,4.894661623318086e-05
