stage,stage_order,presentation,rank,edge_equal_probability_recovery,bootstrap_95_lower,bootstrap_95_upper,minimum_edge_probability_recovery,edge_equal_logit_recovery,edge_equal_harm_weighted_probability_recovery,edges_at_80,edges_at_90,median_user_probability_recovery,p10_user_probability_recovery,users_improved_fraction,users_at_80_fraction,storage_values_fp32_per_user,representation_gate_80,strong_representation_gate_90
av_aggregation,4,S4_aggregated_context,0,0.9534228663425892,0.9493118846148718,0.9570893000275827,0.9445595623692498,0.9531425873981789,0.9753459745134752,5,5,0.9794650673866272,0.9089174091815948,0.998828125,0.958203125,1152,True,True
av_aggregation,4,S4_aggregated_context,1,0.9945793472463265,0.9939893974759616,0.9951005761791021,0.9890576548641548,0.9945844853296876,0.9977025812395253,5,5,0.9980597496032715,0.98916996717453,1.0,0.99921875,4608,True,True
av_aggregation,4,S4_aggregated_context,2,0.997666120599024,0.9973959993041354,0.9978967996157007,0.9947508968180045,0.9976745432242751,0.9989935946655313,5,5,0.9993109405040741,0.9952436208724975,1.0,1.0,6912,True,True
av_aggregation,4,S4_aggregated_context,4,0.9990988851990551,0.9989988053578418,0.9991931947151897,0.9977833043085411,0.9991016398649663,0.9994944972874862,5,5,0.999765545129776,0.9980380535125732,1.0,1.0,11520,True,True
av_aggregation,4,S4_aggregated_context,8,0.9991099543171004,0.9990120043826755,0.999202762863133,0.997811456094496,0.9991131304996088,0.999497652115601,5,5,0.9997704029083252,0.9980541050434113,1.0,1.0,20736,True,True
u_gated_update,5,S5_transformed_update,0,0.7981810209574178,0.7677091771090636,0.8240959115658187,0.6116988423746079,0.7985785249620676,0.9409655617346004,2,2,0.9551292061805725,0.639488685131073,0.958984375,0.83671875,1152,False,False
u_gated_update,5,S5_transformed_update,1,0.9709661561762915,0.9668204771884484,0.974397062920616,0.9519364797743037,0.970807986240834,0.9913985258431156,5,5,0.9932257235050201,0.9494979023933411,0.9984375,0.970703125,4608,True,True
u_gated_update,5,S5_transformed_update,2,0.9873619084479287,0.9855035233590751,0.9888452079665149,0.979601074475795,0.9872986939968541,0.995807997363713,5,5,0.9964556396007538,0.9767386019229889,1.0,0.9921875,6912,True,True
u_gated_update,5,S5_transformed_update,4,0.9928172250511125,0.9914862783107674,0.9938952863379382,0.9863843049388379,0.9928239760221913,0.9980587767775078,5,5,0.9987648129463196,0.9874738574028015,1.0,0.995703125,11520,True,True
u_gated_update,5,S5_transformed_update,8,0.9930360674392432,0.9917104251339333,0.9941045227914583,0.9867311040870845,0.9930409574881196,0.9981062047244527,5,5,0.9988296926021576,0.9881214439868927,1.0,0.99609375,20736,True,True
layer_hidden,6,S6_post_block_residual,0,0.7981810899451375,0.7677092134329723,0.8240959395794197,0.611699272878468,0.7985785288736225,0.9409655692808894,2,2,0.9551291763782501,0.6394864678382873,0.958984375,0.83671875,1152,False,False
layer_hidden,6,S6_post_block_residual,1,0.9709660091903061,0.9668202953552828,0.9743968258274253,0.9519362265709788,0.9708078940631821,0.9913985018306603,5,5,0.9932259023189545,0.9494991898536682,0.9984375,0.970703125,4608,True,True
layer_hidden,6,S6_post_block_residual,2,0.9873619556427002,0.9855035274627153,0.9888451656483812,0.979600643622689,0.9872986962553114,0.995808005565484,5,5,0.9964550137519836,0.9767398834228516,1.0,0.9921875,6912,True,True
layer_hidden,6,S6_post_block_residual,4,0.99281688593328,0.9914864171436056,0.9938953167625004,0.9863826720975339,0.9928238751599565,0.9980587399823564,5,5,0.9987669289112091,0.9874921619892121,1.0,0.995703125,11520,True,True
layer_hidden,6,S6_post_block_residual,8,0.9930361279519275,0.9917105449765222,0.99410460214247,0.9867308111861348,0.9930410067550838,0.9981062222163489,5,5,0.9988272190093994,0.9881339967250824,1.0,0.99609375,20736,True,True
final_readout,7,S7_final_representation,0,0.9273565084906294,0.9214373956969939,0.9329986631841165,0.8949157863389701,0.9271547064883634,0.9718246214101743,5,4,0.972297340631485,0.8462379038333893,0.996875,0.92265625,192,True,False
final_readout,7,S7_final_representation,1,0.9837382092140615,0.9817869356734444,0.9854408140940359,0.9734614609042183,0.9836869197431952,0.9938672311992125,5,5,0.9939699470996857,0.9696211099624634,0.999609375,0.992578125,768,True,True
final_readout,7,S7_final_representation,2,0.9935954068787396,0.992966875146958,0.9941817836370319,0.9907959093106911,0.9935699517372996,0.9974434613208929,5,5,0.9975230395793915,0.9878556311130524,1.0,0.99921875,1152,True,True
final_readout,7,S7_final_representation,4,0.9980600316775963,0.997867105588084,0.9982289577828488,0.9974082683911547,0.9980557747418061,0.9991658197432296,5,5,0.9992474913597107,0.9961480855941772,1.0,1.0,1920,True,True
final_readout,7,S7_final_representation,8,0.9985827138647437,0.9984544041095069,0.9986986786907074,0.997857763315551,0.9985822704387829,0.999379296126239,5,5,0.9994614124298096,0.9970645368099212,1.0,1.0,3456,True,True
